Unnamed: 0,Name,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Current_Age
1,Hyundai Creta 1.6 CRDi SX Option,2015,41000,19.67,1582.0,126.2,5.0,11.48,12.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8
2,Honda Jazz V,2011,46000,13.0,1199.0,88.7,5.0,8.61,4.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12
3,Maruti Ertiga VDI,2012,87000,20.77,1248.0,88.76,7.0,11.48,6.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11
4,Audi A4 New 2.0 TDI Multitronic,2013,40670,15.2,1968.0,140.8,5.0,11.48,17.74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10
6,Nissan Micra Diesel XV,2013,86999,23.08,1461.0,63.1,5.0,11.48,3.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10
7,Toyota Innova Crysta 2.8 GX AT 8S,2016,36000,11.36,2755.0,171.5,8.0,21.0,17.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
8,Volkswagen Vento Diesel Comfortline,2013,64430,20.54,1598.0,103.6,5.0,11.48,5.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10
9,Tata Indica Vista Quadrajet LS,2012,65932,22.3,1248.0,74.0,5.0,11.48,1.95,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,11
10,Maruti Ciaz Zeta,2018,25692,21.56,1462.0,103.25,5.0,10.65,9.95,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
11,Honda City 1.5 V AT Sunroof,2012,60000,16.8,1497.0,116.3,5.0,11.48,4.49,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11
12,Maruti Swift VDI BSIV,2015,64424,25.2,1248.0,74.0,5.0,11.48,5.6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8
13,Land Rover Range Rover 2.2L Pure,2014,72000,12.7,2179.0,187.7,5.0,11.48,27.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9
14,Land Rover Freelander 2 TD4 SE,2012,85000,0.0,2179.0,115.0,5.0,11.48,17.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11
15,Mitsubishi Pajero Sport 4X4,2014,110000,13.5,2477.0,175.56,7.0,32.01,15.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9
16,Honda Amaze S i-Dtech,2016,58950,25.8,1498.0,98.6,5.0,11.48,5.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
17,Maruti Swift DDiS VDI,2017,25000,28.4,1248.0,74.0,5.0,11.48,5.99,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6
18,Renault Duster 85PS Diesel RxL Plus,2014,77469,20.45,1461.0,83.8,5.0,11.48,6.34,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,78500,14.84,2143.0,167.62,5.0,11.48,28.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
20,BMW 3 Series 320d,2014,32982,22.69,1995.0,190.0,5.0,47.87,18.55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
21,Maruti S Cross DDiS 200 Alpha,2015,55392,23.65,1248.0,88.5,5.0,11.48,8.25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,8
22,Audi A6 2011-2015 35 TFSI Technology,2015,55985,13.53,1984.0,177.01,5.0,11.48,23.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
23,Hyundai i20 1.2 Magna,2010,45807,18.5,1197.0,80.0,5.0,11.48,1.87,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13
24,Volkswagen Vento Petrol Highline AT,2010,33000,14.4,1598.0,103.6,5.0,11.48,2.85,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13
25,Honda City Corporate Edition,2012,51920,16.8,1497.0,116.3,5.0,11.48,4.25,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11
26,Nissan Micra Diesel XV,2012,54000,16.48,1461.0,63.1,5.0,11.48,4.25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11
27,Maruti Alto K10 2010-2014 VXI,2013,54000,20.92,998.0,67.1,5.0,11.48,2.75,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,10
28,Honda WRV i-VTEC VX,2018,37430,17.5,1199.0,88.7,5.0,10.57,9.9,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
29,Toyota Innova 2.5 V Diesel 7-seater,2007,262000,12.8,2494.0,102.0,7.0,11.48,4.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,16
30,Renault Duster 110PS Diesel RxZ Pack,2013,62000,19.01,1461.0,108.45,5.0,11.48,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10
31,Toyota Corolla Altis G,2012,87615,14.53,1798.0,138.1,5.0,11.48,6.75,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11
32,Mahindra Ssangyong Rexton RX7,2013,72000,11.18,2696.0,184.0,7.0,11.48,12.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10
33,Audi A6 2.7 TDI,2010,35000,12.4,2698.0,179.5,5.0,11.48,11.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13
34,Volkswagen Vento 1.6 Highline,2014,55431,16.09,1598.0,103.5,5.0,12.33,6.98,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,9
35,Maruti Wagon R LXI BSIII,2009,83816,14.0,1061.0,64.0,5.0,11.48,1.85,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,14
36,Maruti Vitara Brezza ZDi Plus,2018,50075,24.3,1248.0,88.5,5.0,11.12,8.63,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,52000,18.15,1198.0,82.0,5.0,11.48,4.85,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6
38,Mercedes-Benz M-Class ML 350 CDI,2013,85000,11.74,2987.0,254.8,5.0,11.48,28.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
39,Volkswagen Polo Diesel Trendline 1.2L,2013,62000,22.07,1199.0,73.9,5.0,11.48,5.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10
40,Maruti Alto LXi,2008,90000,19.7,796.0,46.3,5.0,11.48,1.25,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,15
41,Tata Nano LX SE,2014,19698,25.4,624.0,37.5,4.0,11.48,1.53,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,22033,25.32,1198.0,77.0,6.0,11.48,5.58,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6
43,Hyundai i20 Magna Optional 1.2,2014,35487,18.5,1197.0,82.9,5.0,11.48,4.74,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9
44,Hyundai Elantra 2.0 SX Option AT,2014,46374,14.62,1999.0,149.92,5.0,23.64,8.85,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
45,Toyota Corolla Altis G AT,2016,52001,14.28,1798.0,138.03,5.0,11.48,10.11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
46,Hyundai Elantra CRDi,2008,58005,14.9,1991.0,112.2,5.0,11.48,4.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15
